description,amount,category
Salary Credit,2512.94,income
Amazon Purchase,6648.88,expense
Stock Purchase,8149.73,asset
Home Loan Interest,4182.89,liability
Swiggy Order,9483.04,expense
Salary Credit,7531.98,income
Bonus Received,4733.81,income
Uber Ride,6202.33,expense
Uber Ride,1322.13,expense
Freelance Payment,5311.14,income
Salary Credit,3704.42,income
Loan EMI,3805.5,liability
Electricity Bill,9505.31,expense
Home Loan Interest,6446.17,liability
Stock Purchase,348.42,asset
Credit Card Bill,1491.04,liability
Amazon Purchase,6804.17,expense
Bonus Received,7216.32,income
Car Loan EMI,4750.86,liability
Interest Credit,3139.71,income
Loan EMI,1229.01,liability
Salary Credit,880.52,income
Loan EMI,2377.03,liability
Uber Ride,3947.75,expense
Freelance Payment,2839.51,income
Home Loan Interest,6653.49,liability
Home Loan Interest,9186.41,liability
Mutual Fund Investment,2583.29,asset
Loan EMI,7703.99,liability
FD Deposit,1255.54,asset
Interest Credit,1282.36,income
Home Loan Interest,8437.65,liability
Mutual Fund Investment,6424.73,asset
Amazon Purchase,1731.66,expense
Salary Credit,5327.19,income
Interest Credit,5145.2,income
FD Deposit,6227.1,asset
Salary Credit,5549.23,income
Electricity Bill,6268.23,expense
Swiggy Order,3018.06,expense
Uber Ride,3625.79,expense
Interest Credit,8478.96,income
Electricity Bill,5612.76,expense
Gold Investment,6522.21,asset
Freelance Payment,5906.46,income
Freelance Payment,6817.55,income
Gold Investment,3298.93,asset
FD Deposit,8216.21,asset
Interest Credit,7208.28,income
Amazon Purchase,9043.68,expense
Swiggy Order,1121.45,expense
Bonus Received,9457.82,income
Uber Ride,7692.92,expense
Mutual Fund Investment,3301.57,asset
Stock Purchase,1384.92,asset
Freelance Payment,299.6,income
Electricity Bill,9843.61,expense
Car Loan EMI,8846.96,liability
Home Loan Interest,3791.14,liability
Stock Purchase,1266.31,asset
Gold Investment,153.97,asset
Home Loan Interest,6569.24,liability
Home Loan Interest,1462.69,liability
Gold Investment,1783.05,asset
Loan EMI,9828.13,liability
FD Deposit,3144.85,asset
Salary Credit,6177.47,income
Credit Card Bill,275.79,liability
Loan EMI,8822.55,liability
Credit Card Bill,3922.1,liability
Loan EMI,4573.95,liability
Interest Credit,4472.18,income
Bonus Received,9965.5,income
Uber Ride,5211.83,expense
Loan EMI,872.26,liability
Freelance Payment,5941.56,income
Gold Investment,7773.98,asset
Freelance Payment,6250.4,income
Salary Credit,3343.83,income
Swiggy Order,953.04,expense
Credit Card Bill,6724.6,liability
Amazon Purchase,5870.91,expense
Freelance Payment,5927.56,income
Mutual Fund Investment,9431.91,asset
Salary Credit,360.37,income
Uber Ride,9147.15,expense
Swiggy Order,2000.85,expense
Loan EMI,1859.49,liability
Car Loan EMI,9746.52,liability
Interest Credit,9087.74,income
Swiggy Order,1930.89,expense
Salary Credit,8632.68,income
Freelance Payment,8377.85,income
Home Loan Interest,5353.74,liability
Loan EMI,2526.39,liability
Electricity Bill,5717.27,expense
Gold Investment,1894.38,asset
Mutual Fund Investment,1884.36,asset
FD Deposit,1858.41,asset
Freelance Payment,8989.78,income
Credit Card Bill,3607.18,liability
Stock Purchase,8304.95,asset
Home Loan Interest,9541.99,liability
Salary Credit,8051.17,income
Mutual Fund Investment,4278.32,asset
Interest Credit,3628.31,income
Stock Purchase,9980.76,asset
Amazon Purchase,1840.22,expense
Stock Purchase,6463.63,asset
Electricity Bill,6433.34,expense
Stock Purchase,8685.66,asset
Electricity Bill,7598.76,expense
Loan EMI,716.66,liability
Uber Ride,7544.23,expense
Stock Purchase,7810.97,asset
Salary Credit,4008.36,income
Gold Investment,8891.6,asset
Salary Credit,6384.57,income
Amazon Purchase,6478.64,expense
FD Deposit,1073.51,asset
Freelance Payment,2519.68,income
Freelance Payment,4195.37,income
Loan EMI,9072.59,liability
Stock Purchase,6931.6,asset
Salary Credit,2447.11,income
Freelance Payment,9715.56,income
Amazon Purchase,8584.82,expense
Mutual Fund Investment,8474.49,asset
Home Loan Interest,5475.59,liability
Amazon Purchase,5568.68,expense
Mutual Fund Investment,5174.06,asset
Freelance Payment,2749.67,income
Gold Investment,6234.41,asset
Electricity Bill,2644.32,expense
Salary Credit,465.87,income
Amazon Purchase,4210.71,expense
Gold Investment,8779.27,asset
Uber Ride,5391.77,expense
Mutual Fund Investment,2101.69,asset
Swiggy Order,139.67,expense
Loan EMI,4642.94,liability
Swiggy Order,6199.34,expense
FD Deposit,4901.67,asset
Amazon Purchase,9633.59,expense
Gold Investment,9594.58,asset
Interest Credit,6598.56,income
Amazon Purchase,3592.23,expense
Electricity Bill,4984.52,expense
Swiggy Order,606.49,expense
Car Loan EMI,4353.76,liability
Stock Purchase,5804.74,asset
Car Loan EMI,7919.82,liability
Credit Card Bill,8008.58,liability
Credit Card Bill,9471.47,liability
Bonus Received,4535.62,income
Amazon Purchase,4372.52,expense
Loan EMI,950.81,liability
Salary Credit,3580.56,income
Home Loan Interest,4945.88,liability
Electricity Bill,8830.96,expense
Home Loan Interest,2837.77,liability
Salary Credit,1606.43,income
Stock Purchase,460.67,asset
Home Loan Interest,7656.09,liability
Interest Credit,2740.19,income
Home Loan Interest,2037.58,liability
Gold Investment,6930.96,asset
Loan EMI,2822.21,liability
Salary Credit,3613.86,income
Amazon Purchase,1215.96,expense
Home Loan Interest,9450.51,liability
Electricity Bill,8344.03,expense
FD Deposit,3847.12,asset
Interest Credit,545.77,income
Loan EMI,3633.75,liability
Loan EMI,3452.36,liability
Interest Credit,5386.96,income
Stock Purchase,4974.25,asset
Uber Ride,8941.54,expense
FD Deposit,1262.46,asset
Swiggy Order,3491.44,expense
FD Deposit,9342.18,asset
Freelance Payment,1989.54,income
Swiggy Order,4623.46,expense
Stock Purchase,9654.22,asset
Interest Credit,8872.34,income
Car Loan EMI,3205.65,liability
Credit Card Bill,9192.36,liability
FD Deposit,9353.6,asset
Stock Purchase,8294.58,asset
Credit Card Bill,4053.58,liability
Loan EMI,4138.53,liability
Salary Credit,7065.01,income
Credit Card Bill,8941.49,liability
Uber Ride,3704.68,expense
Salary Credit,8622.59,income
Salary Credit,8737.27,income
Loan EMI,7508.76,liability
Salary Credit,997.72,income
Interest Credit,6676.41,income
Credit Card Bill,6076.95,liability
Gold Investment,2332.41,asset
Swiggy Order,8708.67,expense
FD Deposit,5913.18,asset
Credit Card Bill,1963.35,liability
Electricity Bill,8911.4,expense
Freelance Payment,3054.71,income
Freelance Payment,367.35,income
Car Loan EMI,7171.18,liability
Bonus Received,7314.25,income
Home Loan Interest,399.01,liability
Home Loan Interest,7220.09,liability
Bonus Received,6886.54,income
Swiggy Order,8030.33,expense
Home Loan Interest,3747.28,liability
Stock Purchase,505.19,asset
Freelance Payment,8536.59,income
Swiggy Order,3841.26,expense
Salary Credit,7130.63,income
Uber Ride,9388.06,expense
Gold Investment,5227.1,asset
Amazon Purchase,1633.49,expense
Stock Purchase,859.99,asset
Mutual Fund Investment,1323.11,asset
Electricity Bill,8955.46,expense
Bonus Received,5685.9,income
Uber Ride,1745.22,expense
Freelance Payment,8282.59,income
Uber Ride,9520.49,expense
Loan EMI,6125.08,liability
Bonus Received,4348.68,income
Home Loan Interest,7299.81,liability
Credit Card Bill,3850.13,liability
Car Loan EMI,1010.73,liability
Freelance Payment,8627.33,income
Gold Investment,4006.93,asset
Mutual Fund Investment,3556.52,asset
Salary Credit,4719.14,income
Mutual Fund Investment,4050.0,asset
Car Loan EMI,516.65,liability
Credit Card Bill,2414.95,liability
Home Loan Interest,9793.51,liability
Swiggy Order,8196.75,expense
Credit Card Bill,5838.1,liability
Gold Investment,8159.22,asset
Credit Card Bill,8095.21,liability
Swiggy Order,9246.37,expense
FD Deposit,3928.84,asset
Amazon Purchase,8853.35,expense
Gold Investment,297.03,asset
Freelance Payment,5909.8,income
Bonus Received,858.47,income
Gold Investment,1012.13,asset
Bonus Received,4099.24,income
Electricity Bill,8154.77,expense
Electricity Bill,9147.87,expense
Amazon Purchase,6020.09,expense
Car Loan EMI,6364.33,liability
Stock Purchase,4962.75,asset
Credit Card Bill,2130.67,liability
Gold Investment,5412.28,asset
Swiggy Order,2132.34,expense
Uber Ride,129.87,expense
Bonus Received,3181.43,income
Stock Purchase,2369.04,asset
FD Deposit,4854.24,asset
Swiggy Order,3039.69,expense
Amazon Purchase,2239.08,expense
Interest Credit,3778.77,income
Gold Investment,5610.44,asset
Home Loan Interest,273.62,liability
Car Loan EMI,4104.0,liability
Salary Credit,8355.07,income
Loan EMI,6463.75,liability
Amazon Purchase,5367.22,expense
Stock Purchase,1141.44,asset
FD Deposit,7798.58,asset
FD Deposit,8366.53,asset
Bonus Received,4977.75,income
Car Loan EMI,7546.99,liability
FD Deposit,1433.88,asset
Loan EMI,7493.98,liability
Mutual Fund Investment,9283.15,asset
Credit Card Bill,6549.32,liability
Car Loan EMI,618.58,liability
FD Deposit,7533.38,asset
FD Deposit,3229.02,asset
Uber Ride,6418.98,expense
Interest Credit,5110.36,income
Swiggy Order,8218.52,expense
Gold Investment,5227.71,asset
Swiggy Order,6618.34,expense
Freelance Payment,6229.75,income
Electricity Bill,8379.11,expense
Swiggy Order,4633.76,expense
Credit Card Bill,5947.1,liability
Bonus Received,6457.49,income
FD Deposit,7768.95,asset
Home Loan Interest,879.76,liability
Interest Credit,9140.62,income
Mutual Fund Investment,9401.54,asset
Bonus Received,5062.97,income
Stock Purchase,1118.3,asset
Stock Purchase,6401.15,asset
Freelance Payment,398.46,income
Credit Card Bill,4217.01,liability
Salary Credit,1050.14,income
Loan EMI,1359.1,liability
Home Loan Interest,2131.66,liability
FD Deposit,6986.9,asset
Freelance Payment,5372.05,income
Credit Card Bill,8679.72,liability
Uber Ride,6206.35,expense
Bonus Received,7994.79,income
Freelance Payment,1252.12,income
Car Loan EMI,4540.94,liability
Bonus Received,8668.52,income
Home Loan Interest,6266.43,liability
Electricity Bill,6923.65,expense
Car Loan EMI,4437.31,liability
FD Deposit,3187.44,asset
Swiggy Order,8650.4,expense
Stock Purchase,4191.05,asset
Credit Card Bill,374.59,liability
Amazon Purchase,9747.14,expense
Home Loan Interest,8030.52,liability
Electricity Bill,4902.31,expense
Mutual Fund Investment,1013.59,asset
Home Loan Interest,3754.9,liability
Gold Investment,781.81,asset
Electricity Bill,357.08,expense
Electricity Bill,1455.86,expense
Salary Credit,1713.17,income
Mutual Fund Investment,2247.25,asset
Loan EMI,3114.47,liability
Credit Card Bill,908.77,liability
Swiggy Order,4410.19,expense
Car Loan EMI,6115.47,liability
Credit Card Bill,5498.46,liability
Gold Investment,2051.1,asset
Home Loan Interest,4621.34,liability
Electricity Bill,4834.08,expense
Uber Ride,9540.9,expense
Bonus Received,9542.34,income
Home Loan Interest,7250.27,liability
Bonus Received,858.78,income
Gold Investment,7541.64,asset
Interest Credit,106.66,income
Uber Ride,1351.96,expense
Amazon Purchase,869.42,expense
Loan EMI,9727.02,liability
Credit Card Bill,2283.01,liability
Electricity Bill,8713.44,expense
Freelance Payment,912.86,income
Bonus Received,5088.05,income
Credit Card Bill,3344.73,liability
Electricity Bill,3022.22,expense
Credit Card Bill,7140.75,liability
Stock Purchase,3194.1,asset
Mutual Fund Investment,8705.72,asset
Interest Credit,4380.46,income
Car Loan EMI,3474.5,liability
Electricity Bill,718.2,expense
Mutual Fund Investment,3581.86,asset
Interest Credit,2674.17,income
Credit Card Bill,4334.76,liability
Credit Card Bill,7317.05,liability
Bonus Received,1928.89,income
Swiggy Order,9751.4,expense
Loan EMI,7399.84,liability
Stock Purchase,7761.66,asset
Home Loan Interest,4962.1,liability
Gold Investment,9243.78,asset
Loan EMI,9379.99,liability
Home Loan Interest,706.77,liability
Interest Credit,6982.9,income
Car Loan EMI,4927.69,liability
Freelance Payment,2403.97,income
Interest Credit,7350.1,income
Credit Card Bill,4797.69,liability
Bonus Received,2350.45,income
Mutual Fund Investment,2870.27,asset
Amazon Purchase,3110.16,expense
Freelance Payment,5091.06,income
Stock Purchase,6472.98,asset
Mutual Fund Investment,2814.75,asset
Loan EMI,1953.97,liability
Swiggy Order,6978.9,expense
Electricity Bill,9880.42,expense
Stock Purchase,5196.18,asset
Gold Investment,7288.49,asset
Stock Purchase,4159.09,asset
Mutual Fund Investment,9184.1,asset
Loan EMI,8891.17,liability
Home Loan Interest,7742.68,liability
Electricity Bill,7487.29,expense
Loan EMI,1753.66,liability
Mutual Fund Investment,5409.39,asset
Amazon Purchase,4216.09,expense
Electricity Bill,1128.48,expense
Stock Purchase,7001.44,asset
Amazon Purchase,9627.33,expense
Electricity Bill,6686.17,expense
FD Deposit,1816.53,asset
Amazon Purchase,254.45,expense
Loan EMI,1261.07,liability
Salary Credit,6836.57,income
Uber Ride,5730.4,expense
Credit Card Bill,6475.43,liability
Uber Ride,7976.65,expense
Swiggy Order,1048.17,expense
Credit Card Bill,8241.84,liability
Salary Credit,2185.54,income
Home Loan Interest,9618.19,liability
Freelance Payment,7445.11,income
Stock Purchase,1194.88,asset
Car Loan EMI,5953.36,liability
Credit Card Bill,3580.15,liability
Uber Ride,9735.29,expense
Interest Credit,4132.5,income
FD Deposit,1934.03,asset
Mutual Fund Investment,2757.65,asset
Amazon Purchase,4410.75,expense
FD Deposit,2304.88,asset
Loan EMI,5516.27,liability
FD Deposit,9667.87,asset
Freelance Payment,5257.65,income
Gold Investment,5551.5,asset
Loan EMI,5774.36,liability
Car Loan EMI,896.82,liability
Freelance Payment,7559.11,income
Gold Investment,8855.88,asset
Loan EMI,8722.24,liability
Salary Credit,6705.67,income
Loan EMI,9158.35,liability
Loan EMI,7506.51,liability
Stock Purchase,7504.96,asset
Interest Credit,1666.34,income
Gold Investment,6379.58,asset
Home Loan Interest,443.16,liability
Swiggy Order,989.45,expense
Bonus Received,3423.86,income
Mutual Fund Investment,8981.67,asset
Salary Credit,2726.86,income
Amazon Purchase,5626.32,expense
Amazon Purchase,8638.26,expense
Amazon Purchase,1413.38,expense
Gold Investment,8086.03,asset
Interest Credit,9343.29,income
Interest Credit,1695.22,income
Stock Purchase,171.97,asset
Bonus Received,9224.27,income
Stock Purchase,874.76,asset
Freelance Payment,2508.02,income
Bonus Received,2503.74,income
Electricity Bill,4048.65,expense
Salary Credit,8721.7,income
Loan EMI,6556.47,liability
Salary Credit,5192.27,income
Home Loan Interest,7741.21,liability
Mutual Fund Investment,3448.47,asset
Freelance Payment,7087.55,income
Freelance Payment,323.25,income
Electricity Bill,7230.12,expense
Interest Credit,2109.75,income
Salary Credit,4365.86,income
Electricity Bill,6556.54,expense
Amazon Purchase,5608.14,expense
Uber Ride,3651.77,expense
Salary Credit,7526.94,income
Amazon Purchase,3686.34,expense
Electricity Bill,5673.7,expense
Swiggy Order,7194.33,expense
Electricity Bill,9705.37,expense
Gold Investment,7281.08,asset
Uber Ride,6975.02,expense
FD Deposit,7698.38,asset
Credit Card Bill,5525.69,liability
Freelance Payment,3854.36,income
Swiggy Order,3697.82,expense
Gold Investment,2932.17,asset
Interest Credit,7819.94,income
Salary Credit,5837.69,income
Gold Investment,1613.35,asset
Amazon Purchase,9893.69,expense
Stock Purchase,9948.83,asset
Loan EMI,6726.71,liability
FD Deposit,3548.44,asset
Stock Purchase,6022.39,asset
Credit Card Bill,4736.87,liability
Amazon Purchase,2147.12,expense
Mutual Fund Investment,7597.77,asset
Bonus Received,741.6,income
Interest Credit,1283.04,income
Car Loan EMI,6336.61,liability
Amazon Purchase,5330.78,expense
FD Deposit,1809.19,asset
Mutual Fund Investment,1535.56,asset
Salary Credit,9576.58,income
Freelance Payment,9407.93,income
Car Loan EMI,9079.78,liability
FD Deposit,7891.62,asset
Mutual Fund Investment,7548.86,asset
Gold Investment,5041.72,asset
FD Deposit,3461.97,asset
Swiggy Order,1031.21,expense
Salary Credit,816.84,income
Freelance Payment,5392.13,income
Uber Ride,4229.74,expense
Gold Investment,8545.75,asset
Bonus Received,2993.26,income
Uber Ride,8779.04,expense
Amazon Purchase,5275.9,expense
Uber Ride,6299.66,expense
Gold Investment,5837.8,asset
Mutual Fund Investment,1699.85,asset
Stock Purchase,5089.02,asset
Interest Credit,6189.04,income
Gold Investment,6903.6,asset
Gold Investment,9204.08,asset
Swiggy Order,7799.35,expense
Home Loan Interest,5212.7,liability
Bonus Received,4970.85,income
Freelance Payment,8661.08,income
Home Loan Interest,5066.14,liability
Car Loan EMI,668.61,liability
Bonus Received,9467.52,income
Mutual Fund Investment,4422.75,asset
FD Deposit,8500.65,asset
Interest Credit,6910.5,income
Freelance Payment,991.62,income
Swiggy Order,7529.98,expense
Amazon Purchase,5471.61,expense
Car Loan EMI,9842.04,liability
Electricity Bill,226.04,expense
Freelance Payment,1159.3,income
Freelance Payment,6762.76,income
Amazon Purchase,5177.51,expense
