id,description,amount,category
3472,Utility Expense,77932.35,expense
3473,Sales Revenue,61008.77,income
3474,Accounts Receivable,69993.99,asset
3475,Accounts Payable,83831.68,liability
3476,Cash,80300.81,asset
3477,Service Income,96095.92,income
3478,Service Income,53639.91,income
3479,Inventory,48900.71,asset
3480,Equipment,40248.53,asset
3481,Rent Expense,15453.74,expense
3482,Accounts Payable,57303.46,liability
3483,Rent Expense,27773.55,expense
3484,Marketing Expense,invalid,expense
3485,,58360.76,expense
3486,Marketing Expense,59324.73,expense
3487,Inventory,35556.97,asset
3488,Rent Expense,5293.74,expense
3489,Tax Payable,3271.2,liability
3490,Rent Expense,42391.18,expense
3491,,8548.08,income
3492,Service Income,60724.01,income
3493,Equipment,88109.2,asset
3494,Accrued Expenses,88303.19,liability
3495,Interest Income,65938.64,income
3496,Interest Income,21202.06,income
3497,Sales Revenue,86313.38,income
3498,,88620.73,income
3499,Accrued Expenses,19745.69,liability
3500,Accounts Receivable,73768.87,asset
3501,Utility Expense,28723.3,expense
3502,Accrued Expenses,80283.77,liability
3503,Prepaid Expense,99724.07,asset
3504,Service Income,3099.6,income
3505,Prepaid Expense,89746.85,asset
3506,Accounts Receivable,62300.79,asset
3507,Accounts Payable,97340.92,liability
3508,Accounts Payable,46554.45,liability
3509,Utility Expense,84754.05,expense
3510,Salary Expense,6333.17,expense
3511,Equipment,33594.38,asset
3512,Loan Payable,6794.95,liability
3513,Loan Payable,97536.78,liability
3514,Utility Expense,81715.69,expense
3515,Utility Expense,85269.49,expense
3516,Tax Payable,93802.73,liability
3517,Loan Payable,8601.84,liability
3518,Sales Revenue,38621.2,income
3519,Marketing Expense,7196.39,expense
3520,Rent Expense,21158.23,expense
3521,Service Income,23013.64,income
3522,Sales Revenue,46963.81,income
3523,Sales Revenue,26929.36,income
3524,Rent Expense,10187.71,expense
3525,Cash,16832.36,asset
3526,Interest Income,14812.83,income
3527,Loan Payable,97310.37,liability
3528,Utility Expense,75953.32,expense
3529,Loan Payable,96779.37,liability
3530,Utility Expense,44030.07,expense
3531,Interest Income,27909.01,income
3532,Inventory,79849.49,asset
3533,Tax Payable,32692.77,liability
3534,Utility Expense,30008.4,expense
3535,Tax Payable,23327.35,liability
3536,Service Income,13054.93,income
3537,Inventory,25720.66,asset
3538,Interest Income,35596.44,income
3539,Service Income,67432.02,income
3540,Service Income,6350.23,income
3541,Sales Revenue,21129.64,income
3542,Rent Expense,80921.46,expense
3543,Sales Revenue,14777.5,income
3544,Loan Payable,34330.25,liability
3545,Utility Expense,86479.43,expense
3546,Salary Expense,15577.04,expense
3547,Prepaid Expense,8365.41,asset
3548,Utility Expense,48505.35,expense
3549,Inventory,30311.71,asset
3550,Sales Revenue,56384.5,income
3551,Sales Revenue,80400.11,income
3552,Rent Expense,13801.13,expense
3553,Marketing Expense,58111.84,expense
3554,Service Income,50600.33,income
3555,Salary Expense,14493.47,expense
3556,Accrued Expenses,62437.45,liability
3557,Sales Revenue,27436.68,income
3558,Service Income,48834.65,income
3559,Utility Expense,8319.01,expense
3560,Marketing Expense,46012.45,expense
3561,Equipment,30715.7,asset
3562,Equipment,82255.88,asset
3563,Prepaid Expense,5792.17,asset
3564,Accounts Receivable,41918.87,asset
3565,Interest Income,45897.3,income
3566,Tax Payable,72528.11,liability
3567,Service Income,57471.33,income
3568,Rent Expense,66754.51,expense
3569,Prepaid Expense,77727.22,asset
3570,Marketing Expense,86234.08,expense
3571,Tax Payable,31456.16,liability
3572,Cash,53848.47,asset
3573,Inventory,84026.8,asset
3574,Tax Payable,98946.17,liability
3575,Prepaid Expense,88962.98,asset
3576,Accounts Receivable,37209.58,asset
3577,Interest Income,19597.14,income
3578,Salary Expense,48990.31,expense
3579,Loan Payable,74189.98,liability
3580,Sales Revenue,49307.65,income
3581,Accrued Expenses,48369.77,liability
3582,Tax Payable,83839.22,liability
3583,Service Income,36204.24,income
3584,Accrued Expenses,85993.49,liability
3585,Interest Income,40739.8,income
3586,Service Income,32890.49,income
3587,Cash,45453.59,asset
3588,Sales Revenue,76268.45,income
3589,Tax Payable,12687.6,liability
3590,,19722.28,expense
3591,Sales Revenue,95149.34,income
3592,Accrued Expenses,17631.61,liability
3593,Marketing Expense,56815.96,expense
3594,Service Income,57973.52,income
3595,Accrued Expenses,49013.48,liability
3596,Prepaid Expense,64510.05,asset
3597,Interest Income,23059.69,income
3598,Salary Expense,55310.96,expense
3599,Sales Revenue,37280.11,income
3600,Salary Expense,66200.56,expense
3601,Accounts Payable,14208.23,liability
3602,Service Income,57130.65,income
3603,Cash,18608.51,asset
3604,Marketing Expense,27936.44,expense
3605,Tax Payable,21949.11,liability
3606,Service Income,18365.49,income
3607,Marketing Expense,82588.52,expense
3608,Accounts Receivable,28642.19,asset
3609,Prepaid Expense,92719.67,asset
3610,Accounts Payable,96995.66,liability
3611,Salary Expense,57168.92,expense
3612,Tax Payable,14385.81,liability
3613,Loan Payable,37517.37,liability
3614,Accounts Receivable,79793.45,asset
3615,Inventory,36802.33,asset
3616,Accounts Payable,8793.02,liability
3617,Inventory,55722.81,asset
3618,Marketing Expense,84527.57,expense
3619,Loan Payable,79613.05,liability
3620,Accounts Payable,17594.8,liability
3621,Accounts Payable,67309.18,liability
3622,Tax Payable,22128.38,liability
3623,Loan Payable,21898.93,liability
3624,Sales Revenue,87419.77,income
3625,Inventory,25041.93,asset
3626,Loan Payable,26398.41,liability
3627,,165.27,asset
3628,Prepaid Expense,87079.84,asset
3629,Sales Revenue,79280.22,income
3630,Interest Income,62770.16,income
3631,Marketing Expense,75051.55,expense
3632,Accounts Payable,15289.65,liability
3633,,45886.53,liability
3634,Sales Revenue,35186.82,income
3635,Salary Expense,9468.27,expense
3636,Sales Revenue,48664.44,income
3637,Loan Payable,92081.89,liability
3638,Service Income,4101.91,income
3639,Tax Payable,29216.95,liability
3640,Service Income,20833.34,income
3641,Utility Expense,23890.85,expense
3642,Interest Income,,income
3643,Inventory,46860.1,asset
3644,Tax Payable,46683.31,liability
3645,Marketing Expense,76081.51,expense
3646,Marketing Expense,15533.77,expense
3647,Sales Revenue,48777.81,income
3648,Sales Revenue,43055.52,income
3649,Interest Income,59731.38,income
3650,Cash,99955.81,asset
3651,Rent Expense,76967.94,expense
3652,Salary Expense,39846.78,expense
3653,Sales Revenue,82772.55,income
3654,Utility Expense,17153.77,expense
3655,Accounts Receivable,3143.32,asset
3656,Equipment,20524.39,asset
3657,Utility Expense,34107.11,expense
3658,Accounts Payable,51107.02,liability
3659,Accrued Expenses,61551.4,liability
3660,Accounts Receivable,91069.51,asset
3661,Sales Revenue,51034.42,income
3662,Tax Payable,50177.44,liability
3663,Inventory,5119.28,asset
3664,Marketing Expense,,expense
3665,Utility Expense,55160.88,expense
3666,Rent Expense,43874.04,expense
3667,Rent Expense,83934.12,expense
3668,Accrued Expenses,16151.89,liability
3669,Service Income,2594.67,income
3670,Equipment,44958.97,asset
3671,Accounts Receivable,23824.11,asset
3672,Marketing Expense,5056.48,expense
3673,Marketing Expense,72487.37,expense
3674,Cash,11248.14,asset
3675,Salary Expense,60871.12,expense
3676,Service Income,28176.87,income
3677,Rent Expense,17432.26,expense
3678,Rent Expense,38037.18,expense
3679,Cash,80164.43,asset
3680,Accounts Receivable,39270.15,asset
3681,Accrued Expenses,75101.89,liability
3682,Salary Expense,12636.08,expense
3683,Sales Revenue,77299.86,income
3684,Prepaid Expense,23769.64,asset
3685,Prepaid Expense,67771.57,asset
3686,Inventory,56621.58,asset
3687,,92921.56,liability
3688,Equipment,38793.52,asset
3689,Service Income,6709.9,income
3690,Sales Revenue,2013.63,income
3691,Tax Payable,82703.17,liability
3692,Service Income,52521.09,income
3693,Interest Income,77546.88,income
3694,,23519.12,income
3695,Loan Payable,34573.87,liability
3696,Equipment,3107.38,asset
3697,Salary Expense,96153.08,expense
3698,Tax Payable,66820.0,liability
3699,Rent Expense,93327.19,expense
3700,Marketing Expense,26623.09,expense
3701,Loan Payable,61185.21,liability
3702,Service Income,67882.15,income
3703,Rent Expense,31823.22,expense
3704,Cash,84826.11,asset
3705,Tax Payable,94721.43,liability
3706,Accounts Receivable,88497.03,asset
3707,Interest Income,73932.79,income
3708,Service Income,27818.72,income
3709,Prepaid Expense,28233.44,asset
3710,Salary Expense,96339.7,expense
3711,Equipment,1127.42,asset
3712,Accounts Payable,71633.39,liability
3713,Sales Revenue,70653.99,income
3714,Salary Expense,62306.69,expense
3715,Accrued Expenses,99011.87,liability
3716,Sales Revenue,31256.76,income
3717,Prepaid Expense,34063.19,asset
3718,Salary Expense,7986.05,expense
3719,Tax Payable,44335.53,liability
3720,Marketing Expense,26178.75,expense
3721,Accounts Payable,34404.33,liability
3722,Tax Payable,83473.72,liability
3723,Service Income,93554.9,income
3724,Sales Revenue,18654.73,income
3725,,37313.64,income
3726,Salary Expense,92870.19,expense
3727,Marketing Expense,6274.67,expense
3728,Sales Revenue,9326.82,income
3729,Loan Payable,16362.82,liability
3730,Accounts Receivable,59561.76,asset
3731,Marketing Expense,15132.18,expense
3732,Accounts Receivable,96810.83,asset
3733,Prepaid Expense,44726.78,asset
3734,Utility Expense,50201.64,expense
3735,,24741.2,asset
3736,Sales Revenue,47148.93,income
3737,Rent Expense,66225.17,expense
3738,Tax Payable,75142.6,liability
3739,Loan Payable,75411.42,liability
3740,Interest Income,57831.32,income
3741,Sales Revenue,90445.54,income
3742,Cash,81759.04,asset
3743,Marketing Expense,75729.11,expense
3744,Loan Payable,5654.99,liability
3745,Accounts Payable,787.11,liability
3746,Accrued Expenses,21323.48,liability
3747,Cash,66386.01,asset
3748,Accrued Expenses,41178.63,liability
3749,Accounts Payable,40300.39,liability
3750,Loan Payable,88470.23,liability
3751,Marketing Expense,89566.73,expense
3752,Loan Payable,90926.61,liability
3753,Tax Payable,31456.42,liability
3754,Sales Revenue,69136.48,income
3755,Rent Expense,27236.15,expense
3756,Inventory,19141.92,asset
3757,Salary Expense,18544.78,expense
3758,Tax Payable,34276.55,liability
3759,Accounts Payable,43052.77,liability
3760,Sales Revenue,,income
3761,Equipment,12077.12,asset
3762,Rent Expense,73519.09,expense
3763,Rent Expense,53192.35,expense
3764,Accounts Receivable,28865.74,asset
3765,Interest Income,49332.68,income
3766,,30064.21,expense
3767,Sales Revenue,59648.59,income
3768,Interest Income,43441.01,income
3769,,16524.11,asset
3770,Equipment,11746.65,asset
3771,Interest Income,54714.9,income
3772,Inventory,90251.06,asset
3773,Accrued Expenses,34461.37,liability
3774,Sales Revenue,73326.71,income
3775,Accrued Expenses,65900.27,liability
3776,Tax Payable,93162.34,liability
3777,Sales Revenue,82116.0,income
3778,Service Income,56703.87,income
3779,Inventory,65737.35,asset
3780,Rent Expense,89848.81,expense
3781,Interest Income,,income
3782,Cash,32746.79,asset
3783,Utility Expense,,expense
3784,Salary Expense,82672.45,expense
3785,Service Income,80117.97,income
3786,Sales Revenue,10535.01,income
3787,Accounts Receivable,57728.05,asset
3788,Tax Payable,invalid,liability
3789,Tax Payable,11959.04,liability
3790,Accrued Expenses,98058.77,liability
3791,Utility Expense,21548.12,expense
3792,Rent Expense,6816.69,expense
3793,Accounts Receivable,59525.25,asset
3794,Interest Income,73912.78,income
3795,Salary Expense,,expense
3796,Accrued Expenses,65905.89,liability
3797,Rent Expense,53275.96,expense
3798,Accounts Receivable,10416.17,asset
3799,Rent Expense,17335.14,expense
3800,Rent Expense,56840.63,expense
3801,Sales Revenue,29706.13,income
3802,Utility Expense,93837.74,expense
3803,Tax Payable,81892.15,liability
3804,Tax Payable,98358.36,liability
3805,Cash,26041.12,asset
3806,Salary Expense,96975.39,expense
3807,Loan Payable,43180.26,liability
3808,Accounts Receivable,34817.13,asset
3809,Sales Revenue,5129.92,income
3810,Accounts Payable,invalid,liability
3811,Sales Revenue,69231.92,income
3812,Sales Revenue,45847.11,income
3813,Service Income,22729.51,income
3814,Accrued Expenses,61435.63,liability
3815,Salary Expense,25360.53,expense
3816,Interest Income,57805.41,income
3817,Tax Payable,35984.95,liability
3818,Accrued Expenses,82372.87,liability
3819,Inventory,82087.55,asset
3820,Accounts Payable,47787.3,liability
3821,Utility Expense,35146.83,expense
3822,Accounts Payable,36319.72,liability
3823,Interest Income,80590.88,income
3824,Service Income,32885.13,income
3825,Interest Income,20985.03,income
3826,Equipment,8560.37,asset
3827,Tax Payable,46722.64,liability
3828,Interest Income,,income
3829,Interest Income,84106.78,income
3830,Sales Revenue,22201.75,income
3831,Marketing Expense,38161.03,expense
3832,Inventory,80859.73,asset
3833,Sales Revenue,82380.0,income
3834,Utility Expense,38522.65,expense
3835,Interest Income,45966.49,income
3836,Cash,30398.26,asset
3837,Salary Expense,93262.23,expense
3838,Salary Expense,11952.51,expense
3839,Tax Payable,93381.57,liability
3840,Service Income,68418.26,income
3841,Equipment,53204.06,asset
3842,Accounts Receivable,3362.64,asset
3843,Inventory,47612.06,asset
3844,Accounts Receivable,40834.04,asset
3845,Prepaid Expense,16205.76,asset
3846,Service Income,65675.32,income
3847,Salary Expense,97117.98,expense
3848,Salary Expense,56262.66,expense
3849,Interest Income,71503.85,income
3850,Equipment,6938.2,asset
3851,Tax Payable,41824.93,liability
3852,Salary Expense,11724.21,expense
3853,Service Income,61318.3,income
3854,Marketing Expense,93854.37,expense
3855,Interest Income,66211.6,income
3856,Rent Expense,7772.62,expense
3857,Accounts Receivable,35531.15,asset
3858,Utility Expense,invalid,expense
3859,Salary Expense,40380.45,expense
3860,Sales Revenue,83381.04,income
3861,Cash,81485.63,asset
3862,Accounts Receivable,61221.92,asset
3863,,37408.45,expense
3864,Service Income,25608.1,income
3865,Interest Income,10676.84,income
3866,Accounts Payable,35554.28,liability
3867,Accounts Payable,41375.93,liability
3868,Inventory,67614.71,asset
3869,Accounts Receivable,65850.17,asset
3870,Rent Expense,7103.8,expense
3871,Rent Expense,39586.41,expense
3872,Sales Revenue,18259.71,income
3873,Inventory,15765.59,asset
3874,Rent Expense,82747.48,expense
3875,Utility Expense,4287.33,expense
3876,Rent Expense,41976.37,expense
3877,Accounts Receivable,16903.55,asset
3878,Accounts Receivable,87945.09,asset
3879,Inventory,55748.35,asset
3880,Salary Expense,23214.93,expense
3881,Service Income,50292.49,income
3882,Cash,73175.49,asset
3883,Salary Expense,95815.99,expense
3884,Marketing Expense,22122.56,expense
3885,Salary Expense,88629.56,expense
3886,Equipment,93436.98,asset
3887,Rent Expense,91650.41,expense
3888,Cash,63577.89,asset
3889,Inventory,63019.08,asset
3890,Sales Revenue,40380.74,income
3891,Tax Payable,75264.55,liability
3892,Equipment,53176.27,asset
3893,Loan Payable,67776.06,liability
3894,,42902.94,income
3895,Interest Income,73176.5,income
3896,Inventory,82464.7,asset
3897,Utility Expense,14728.98,expense
3898,Service Income,83309.68,income
3899,Equipment,54075.62,asset
3900,Salary Expense,84482.12,expense
3901,Interest Income,43187.04,income
3902,Salary Expense,37966.14,expense
3903,Cash,91514.57,asset
3904,Loan Payable,25191.81,liability
3905,Sales Revenue,84436.81,income
3906,Rent Expense,48453.66,expense
3907,Sales Revenue,51458.13,income
3908,Inventory,30915.98,asset
3909,Tax Payable,57346.92,liability
3910,Inventory,32588.6,asset
3911,Cash,4023.01,asset
3912,Utility Expense,27272.66,expense
3913,Equipment,737.27,asset
3914,Loan Payable,97837.64,liability
3915,Accrued Expenses,96578.15,liability
3916,Service Income,invalid,income
3917,Interest Income,72864.25,income
3918,Utility Expense,34646.03,expense
3919,Tax Payable,67142.21,liability
3920,Utility Expense,80562.46,expense
3921,,94680.95,asset
3922,Loan Payable,40081.21,liability
3923,Sales Revenue,78351.47,income
3924,Salary Expense,26666.25,expense
3925,Service Income,99034.2,income
3926,Rent Expense,2674.38,expense
3927,Equipment,60392.53,asset
3928,Accounts Payable,65984.65,liability
3929,Cash,68835.75,asset
3930,Accrued Expenses,12126.72,liability
3931,Prepaid Expense,93859.13,asset
3932,Service Income,18200.21,income
3933,Utility Expense,62313.06,expense
3934,Prepaid Expense,22345.34,asset
3935,Tax Payable,30790.92,liability
3936,Equipment,54691.21,asset
3937,Accrued Expenses,41777.62,liability
3938,Service Income,16106.54,income
3939,Sales Revenue,17176.55,income
